freeToPlay,rankedPlayEnabled,botEnabled,botMmEnabled,active,id
FALSE,TRUE,FALSE,FALSE,TRUE,266
FALSE,TRUE,FALSE,FALSE,TRUE,103
FALSE,TRUE,FALSE,FALSE,TRUE,84
FALSE,TRUE,TRUE,TRUE,TRUE,12
FALSE,TRUE,TRUE,TRUE,TRUE,32
FALSE,TRUE,FALSE,FALSE,TRUE,34
FALSE,TRUE,TRUE,TRUE,TRUE,1
FALSE,TRUE,TRUE,TRUE,TRUE,22
FALSE,TRUE,FALSE,FALSE,TRUE,268
FALSE,TRUE,FALSE,FALSE,TRUE,432
FALSE,TRUE,TRUE,TRUE,TRUE,53
FALSE,TRUE,TRUE,TRUE,TRUE,63
FALSE,TRUE,FALSE,FALSE,TRUE,201
FALSE,TRUE,TRUE,TRUE,TRUE,51
FALSE,TRUE,TRUE,TRUE,TRUE,69
FALSE,TRUE,TRUE,TRUE,TRUE,31
FALSE,TRUE,FALSE,FALSE,TRUE,42
FALSE,TRUE,TRUE,TRUE,TRUE,122
FALSE,TRUE,FALSE,FALSE,TRUE,131
TRUE,TRUE,FALSE,FALSE,TRUE,119
FALSE,TRUE,TRUE,TRUE,TRUE,36
FALSE,TRUE,FALSE,FALSE,TRUE,245
FALSE,TRUE,FALSE,FALSE,TRUE,60
FALSE,TRUE,FALSE,FALSE,TRUE,28
FALSE,TRUE,TRUE,TRUE,TRUE,81
FALSE,TRUE,TRUE,TRUE,TRUE,9
FALSE,TRUE,FALSE,FALSE,TRUE,114
FALSE,TRUE,FALSE,FALSE,TRUE,105
FALSE,TRUE,TRUE,TRUE,TRUE,3
TRUE,TRUE,FALSE,FALSE,TRUE,41
FALSE,TRUE,TRUE,TRUE,TRUE,86
FALSE,TRUE,FALSE,FALSE,TRUE,150
FALSE,TRUE,FALSE,FALSE,TRUE,79
FALSE,TRUE,TRUE,TRUE,TRUE,104
FALSE,TRUE,FALSE,FALSE,TRUE,120
FALSE,TRUE,FALSE,FALSE,TRUE,74
FALSE,TRUE,TRUE,TRUE,TRUE,39
FALSE,TRUE,FALSE,FALSE,TRUE,40
FALSE,TRUE,TRUE,TRUE,TRUE,59
FALSE,TRUE,TRUE,TRUE,TRUE,24
FALSE,TRUE,FALSE,FALSE,TRUE,126
FALSE,TRUE,FALSE,FALSE,TRUE,222
FALSE,TRUE,FALSE,FALSE,TRUE,429
FALSE,TRUE,FALSE,FALSE,TRUE,43
FALSE,TRUE,TRUE,TRUE,TRUE,30
FALSE,TRUE,FALSE,FALSE,TRUE,38
TRUE,TRUE,FALSE,FALSE,TRUE,55
FALSE,TRUE,TRUE,TRUE,TRUE,10
FALSE,TRUE,FALSE,FALSE,TRUE,85
FALSE,TRUE,FALSE,FALSE,TRUE,121
FALSE,TRUE,FALSE,TRUE,TRUE,203
FALSE,TRUE,TRUE,TRUE,TRUE,96
FALSE,TRUE,FALSE,FALSE,TRUE,7
FALSE,TRUE,FALSE,FALSE,TRUE,64
FALSE,TRUE,TRUE,TRUE,TRUE,89
FALSE,TRUE,FALSE,FALSE,TRUE,127
FALSE,TRUE,TRUE,TRUE,TRUE,236
FALSE,TRUE,FALSE,FALSE,TRUE,117
FALSE,TRUE,TRUE,TRUE,TRUE,99
FALSE,TRUE,TRUE,TRUE,TRUE,54
FALSE,TRUE,TRUE,TRUE,TRUE,90
FALSE,TRUE,FALSE,FALSE,TRUE,57
FALSE,TRUE,TRUE,TRUE,TRUE,11
FALSE,TRUE,TRUE,TRUE,TRUE,21
FALSE,TRUE,TRUE,TRUE,TRUE,62
FALSE,TRUE,FALSE,FALSE,TRUE,82
FALSE,TRUE,TRUE,TRUE,TRUE,25
FALSE,TRUE,FALSE,FALSE,TRUE,267
FALSE,TRUE,TRUE,TRUE,TRUE,75
FALSE,TRUE,FALSE,FALSE,TRUE,111
FALSE,TRUE,TRUE,TRUE,TRUE,76
FALSE,TRUE,FALSE,FALSE,TRUE,56
FALSE,TRUE,TRUE,TRUE,TRUE,20
FALSE,TRUE,FALSE,FALSE,TRUE,2
FALSE,TRUE,FALSE,FALSE,TRUE,61
FALSE,TRUE,FALSE,FALSE,TRUE,80
FALSE,TRUE,FALSE,FALSE,TRUE,78
FALSE,TRUE,FALSE,FALSE,TRUE,133
TRUE,TRUE,TRUE,TRUE,TRUE,33
TRUE,TRUE,FALSE,FALSE,TRUE,421
FALSE,TRUE,TRUE,TRUE,TRUE,58
FALSE,TRUE,FALSE,FALSE,TRUE,107
FALSE,TRUE,FALSE,FALSE,TRUE,92
TRUE,TRUE,FALSE,FALSE,TRUE,68
FALSE,TRUE,TRUE,TRUE,TRUE,13
FALSE,TRUE,FALSE,FALSE,TRUE,113
FALSE,TRUE,FALSE,FALSE,TRUE,35
FALSE,TRUE,TRUE,TRUE,TRUE,98
FALSE,TRUE,TRUE,TRUE,TRUE,102
FALSE,TRUE,FALSE,FALSE,TRUE,27
FALSE,TRUE,FALSE,FALSE,TRUE,14
