name,level,q_speed,q_ad_p,q_c,w_ad,w_ad_p,w_c,e,r_ap,r_ap_p,r_ad_p,r_c,passive
Ashe,,4,5,5,,,,,,,,,110%+(critical chance*(1+bonus critical damage))%
Ashe,1,0.2,0.23,5,20,1,12,,250,1,,100,
Ashe,2,0.25,0.24,5,35,1,10,,425,1,,90,
Ashe,3,0.3,0.25,5,50,1,8,,600,1,,80,
Ashe,4,0.35,0.26,5,65,1,6,,,,,,
Ashe,5,0.4,0.27,5,80,1,4,,,,,,
Jinx,,,,,,,,,,,,,
Jinx,1,0.3,,,10,1.4,10,,250,,0.1,90,
Jinx,2,0.4,,,60,1.4,9,,350,,0.1,75,
Jinx,3,0.5,,,110,1.4,8,,450,,0.1,60,
Jinx,4,0.6,,,160,1.4,7,,,,,,
Jinx,5,0.7,,,210,1.4,6,,,,,,
